,bpm_time,bpm
165,2019-03-26,72.78785286569718
166,2019-03-27,72.23556090596041
167,2019-03-28,71.94614170565357
168,2019-03-29,70.29230186136613
169,2019-03-30,69.28120544038609
170,2019-03-31,72.35773875173213
171,2019-04-01,66.96838137982623
172,2019-04-02,67.66147442769754
173,2019-04-03,71.04893527006064
174,2019-04-04,65.61937420986094
175,2019-04-05,71.15774496474532
176,2019-04-08,78.71501096111687
177,2019-04-09,70.66089457259989
178,2019-04-10,70.91831313794545
179,2019-04-11,68.41595754702169
180,2019-04-12,66.57957052030622
181,2019-04-13,66.42402745995423
182,2019-04-14,69.90417271098217
183,2019-04-15,70.08756464503996
184,2019-04-16,68.71774675430495
185,2019-04-17,68.51898594349784
186,2019-04-18,71.59370181473135
187,2019-04-19,74.1154005414875
188,2019-04-20,71.036
